name,duration
24th\JSM\Home_Playtime_Casual Interaction.MP4,5.249688888888889
21th\HKJ\Home_Playtime_Casual Interaction.MP4,5.29890462962963
20th\SYJ\Home_Playtime_Casual Interaction.MP4,5.317256296296296
13th\LJH\13th_LJH_Following Instructions.mp4,5.372589255922589
5th\LCD\Home_Playtime.mp4,5.373701666666666
21th\LJH\Home_Following Instructions_Freely.MP4,5.7618672222222225
20th\BAM\Hospital_Following Instructions_Freely.MP4,6.006556111111111
5th\LJH\5th_LJH_Playing Alone.mp4,6.390262484706929
5th\KYJ\5th_KYJ_Following Instructions.mp4,6.5331831831831835
19th\KDH\Home_Playing Alone1.MP4,7.558940277777778
13th\LJH\13th_LJH_Playing Alone.mp4,7.634845957068179
24th\UJW\Home_Playtime_Casual Interaction.MP4,7.680450555555556
